RUN: 0 s | Fan: 0 RPM | Pump: 0.0 Hz | Heater: OFF | C: 57
RUN: 0 s | Fan: 0 RPM | Pump: 0.0 Hz | Heater: OFF | C: 57
RUN: 0 s | Fan: 0 RPM | Pump: 0.1 Hz | Heater: OFF | C: 56
RUN: 0 s | Fan: 2760 RPM | Pump: 0.0 Hz | Heater: OFF | C: 56
RUN: 1 s | Fan: 2520 RPM | Pump: 0.0 Hz | Heater: OFF | C: 56
RUN: 2 s | Fan: 1920 RPM | Pump: 0.0 Hz | Heater: OFF | C: 56
RUN: 3 s | Fan: 1680 RPM | Pump: 0.0 Hz | Heater: OFF | C: 56
RUN: 4 s | Fan: 2280 RPM | Pump: 0.0 Hz | Heater: 3.2 % | C: 56
RUN: 5 s | Fan: 1500 RPM | Pump: 0.0 Hz | Heater: 4.8 % | C: 56
RUN: 6 s | Fan: 1500 RPM | Pump: 0.0 Hz | Heater: 5.6 % | C: 55
RUN: 7 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 5.9 % | C: 55
RUN: 8 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 6.4 % | C: 55
RUN: 9 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 7.0 % | C: 54
RUN: 10 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 7.2 % | C: 54
RUN: 11 s | Fan: 1440 RPM | Pump: 0.0 Hz | Heater: 7.8 % | C: 54
RUN: 12 s | Fan: 1380 RPM | Pump: 0.0 Hz | Heater: 8.0 % | C: 54
RUN: 13 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 8.5 % | C: 53
RUN: 14 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 8.9 % | C: 53
RUN: 15 s | Fan: 1260 RPM | Pump: 0.0 Hz | Heater: 9.6 % | C: 53
RUN: 16 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 10.2 % | C: 53
RUN: 17 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 10.8 % | C: 53
RUN: 18 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 11.9 % | C: 52
RUN: 19 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 12.7 % | C: 52
RUN: 20 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 13.5 % | C: 52
RUN: 21 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 14.3 % | C: 51
RUN: 22 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 15.6 % | C: 50
RUN: 23 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 16.6 % | C: 50
RUN: 24 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 17.6 % | C: 49
RUN: 25 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 18.8 % | C: 48
RUN: 26 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 19.5 % | C: 47
RUN: 27 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 20.2 % | C: 47
RUN: 28 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 20.8 % | C: 46
RUN: 29 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 21.4 % | C: 46
RUN: 30 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 21.6 % | C: 45
RUN: 31 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 22.1 % | C: 45
RUN: 32 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 22.3 % | C: 44
RUN: 33 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 22.4 % | C: 44
RUN: 34 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 22.4 % | C: 43
RUN: 35 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 22.8 % | C: 43
RUN: 36 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 22.5 % | C: 43
RUN: 37 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 22.6 % | C: 43
RUN: 38 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 22.8 % | C: 43
RUN: 39 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 23.0 % | C: 42
RUN: 40 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 23.2 % | C: 42
RUN: 41 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 23.3 % | C: 42
RUN: 42 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 23.6 % | C: 42
RUN: 43 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 23.4 % | C: 42
RUN: 44 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.0 % | C: 42
RUN: 45 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 23.6 % | C: 42
RUN: 46 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 23.7 % | C: 42
RUN: 47 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 23.7 % | C: 41
RUN: 48 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 23.9 % | C: 41
RUN: 49 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 23.9 % | C: 41
RUN: 50 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.0 % | C: 41
RUN: 51 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 23.9 % | C: 41
RUN: 52 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.0 % | C: 41
RUN: 53 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 24.1 % | C: 41
RUN: 54 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.4 % | C: 41
RUN: 55 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.4 % | C: 41
RUN: 56 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.2 % | C: 41
